Group,PreyTaxonSort,PreyTaxBroad,Sort
C_Abraliopsis,C_Abraliopsis,C_Abraliopsis,1
C_Gonatus,C_Gonatus,C_Gonatus,2
C_Japetella,C_Japetella,C_Japetella,3
C_Ommastrephid,C_Ommastrephid,C_Ommastrephid,4
C_Other,C_Other,C_Other,5
C_Pterygioteuthis,C_Pterygioteuthis,C_Pterygioteuthis,6
C_UnID,C_UnID,C_UnID,7
F_Benthosema,F_Benthosema,F_Benthosema,8
F_Bregmaceros,F_Bregmaceros,F_Bregmaceros,9
F_Diogenichthys,F_Diogenichthys,F_Diogenichthys,10
F_Engraulis,F_Engraulis,F_Engraulis,11
F_Merluccius,F_Merluccius,F_Merluccius,12
F_Other,F_Other,F_Other,13
F_Species_A,F_Species_A,F_Species_A,14
F_Triphoturus,F_Triphoturus,F_Triphoturus,15
F_UnID,F_UnID,F_UnID,16
F_UnID_.Myctophidae,F_UnID_.Myctophidae,F_UnID_.Myctophidae,17
F_Vinciguerria,F_Vinciguerria,F_Vinciguerria,18
M_Pteropoda,M_Pteropoda,M_Pteropoda,19
R_Crust,R_Crust,R_Crust,20