V1,V2,V3
-112.491666666667,27.4916666666667,460
-112.475,27.4916666666667,479
-112.458333333333,27.4916666666667,532
-112.441666666667,27.4916666666667,544
-112.425,27.4916666666667,584
-112.408333333333,27.4916666666667,642
-112.391666666667,27.4916666666667,542
-112.375,27.4916666666667,557
-112.358333333333,27.4916666666667,254
-112.341666666667,27.4916666666667,200
-112.325,27.4916666666667,-24
-112.308333333333,27.4916666666667,-190
-112.291666666667,27.4916666666667,-320
-112.275,27.4916666666667,-434
-112.258333333333,27.4916666666667,-518
-112.241666666667,27.4916666666667,-561
-112.225,27.4916666666667,-595
-112.208333333333,27.4916666666667,-649
-112.191666666667,27.4916666666667,-650
-112.175,27.4916666666667,-704
-112.158333333333,27.4916666666667,-727
-112.141666666667,27.4916666666667,-808
-112.125,27.4916666666667,-811
-112.108333333333,27.4916666666667,-848
-112.091666666667,27.4916666666667,-858
-112.075,27.4916666666667,-906
-112.058333333333,27.4916666666667,-958
-112.041666666667,27.4916666666667,-1011
-112.025,27.4916666666667,-1050
-112.008333333333,27.4916666666667,-1091
-111.991666666667,27.4916666666667,-1108
-111.975,27.4916666666667,-1087
-111.958333333333,27.4916666666667,-997
-111.941666666667,27.4916666666667,-752
-111.925,27.4916666666667,-510
-111.908333333333,27.4916666666667,-469
-111.891666666667,27.4916666666667,-193
-111.875,27.4916666666667,-388
-111.858333333333,27.4916666666667,-487
-111.841666666667,27.4916666666667,-1097
-111.825,27.4916666666667,-844
-111.808333333333,27.4916666666667,-1506
-111.791666666667,27.4916666666667,-1368
-111.775,27.4916666666667,-1511
-111.758333333333,27.4916666666667,-1649
-112.491666666667,27.475,391
-112.475,27.475,412
-112.458333333333,27.475,456
-112.441666666667,27.475,500
-112.425,27.475,550
-112.408333333333,27.475,549
-112.391666666667,27.475,482
-112.375,27.475,390
-112.358333333333,27.475,453
-112.341666666667,27.475,278
-112.325,27.475,-4
-112.308333333333,27.475,-181
-112.291666666667,27.475,-314
-112.275,27.475,-420
-112.258333333333,27.475,-497
-112.241666666667,27.475,-543
-112.225,27.475,-583
-112.208333333333,27.475,-632
-112.191666666667,27.475,-653
-112.175,27.475,-695
-112.158333333333,27.475,-785
-112.141666666667,27.475,-860
-112.125,27.475,-894
-112.108333333333,27.475,-883
-112.091666666667,27.475,-925
-112.075,27.475,-951
-112.058333333333,27.475,-968
-112.041666666667,27.475,-979
-112.025,27.475,-1000
-112.008333333333,27.475,-1025
-111.991666666667,27.475,-1037
-111.975,27.475,-1022
-111.958333333333,27.475,-934
-111.941666666667,27.475,-727
-111.925,27.475,-424
-111.908333333333,27.475,-107
-111.891666666667,27.475,24
-111.875,27.475,-85
-111.858333333333,27.475,-405
-111.841666666667,27.475,-735
-111.825,27.475,-866
-111.808333333333,27.475,-1225
-111.791666666667,27.475,-1370
-111.775,27.475,-1486
-111.758333333333,27.475,-1603
-112.491666666667,27.4583333333333,370
-112.475,27.4583333333333,363
-112.458333333333,27.4583333333333,373
-112.441666666667,27.4583333333333,424
-112.425,27.4583333333333,449
-112.408333333333,27.4583333333333,517
-112.391666666667,27.4583333333333,548
-112.375,27.4583333333333,512
-112.358333333333,27.4583333333333,318
-112.341666666667,27.4583333333333,90
-112.325,27.4583333333333,-5
-112.308333333333,27.4583333333333,-129
-112.291666666667,27.4583333333333,-290
-112.275,27.4583333333333,-402
-112.258333333333,27.4583333333333,-476
-112.241666666667,27.4583333333333,-515
-112.225,27.4583333333333,-550
-112.208333333333,27.4583333333333,-639
-112.191666666667,27.4583333333333,-661
-112.175,27.4583333333333,-691
-112.158333333333,27.4583333333333,-852
-112.141666666667,27.4583333333333,-913
-112.125,27.4583333333333,-992
-112.108333333333,27.4583333333333,-865
-112.091666666667,27.4583333333333,-986
-112.075,27.4583333333333,-993
-112.058333333333,27.4583333333333,-982
-112.041666666667,27.4583333333333,-935
-112.025,27.4583333333333,-968
-112.008333333333,27.4583333333333,-990
-111.991666666667,27.4583333333333,-988
-111.975,27.4583333333333,-980
-111.958333333333,27.4583333333333,-912
-111.941666666667,27.4583333333333,-775
-111.925,27.4583333333333,-503
-111.908333333333,27.4583333333333,49
-111.891666666667,27.4583333333333,58
-111.875,27.4583333333333,53
-111.858333333333,27.4583333333333,-395
-111.841666666667,27.4583333333333,-615
-111.825,27.4583333333333,-729
-111.808333333333,27.4583333333333,-1063
-111.791666666667,27.4583333333333,-1273
-111.775,27.4583333333333,-1418
-111.758333333333,27.4583333333333,-1578
-112.491666666667,27.4416666666667,370
-112.475,27.4416666666667,370
-112.458333333333,27.4416666666667,363
-112.441666666667,27.4416666666667,329
-112.425,27.4416666666667,303
-112.408333333333,27.4416666666667,397
-112.391666666667,27.4416666666667,440
-112.375,27.4416666666667,444
-112.358333333333,27.4416666666667,233
-112.341666666667,27.4416666666667,169
-112.325,27.4416666666667,10
-112.308333333333,27.4416666666667,-39
-112.291666666667,27.4416666666667,-235
-112.275,27.4416666666667,-371
-112.258333333333,27.4416666666667,-444
-112.241666666667,27.4416666666667,-486
-112.225,27.4416666666667,-533
-112.208333333333,27.4416666666667,-608
-112.191666666667,27.4416666666667,-670
-112.175,27.4416666666667,-711
-112.158333333333,27.4416666666667,-732
-112.141666666667,27.4416666666667,-874
-112.125,27.4416666666667,-845
-112.108333333333,27.4416666666667,-861
-112.091666666667,27.4416666666667,-920
-112.075,27.4416666666667,-1013
-112.058333333333,27.4416666666667,-970
-112.041666666667,27.4416666666667,-875
-112.025,27.4416666666667,-960
-112.008333333333,27.4416666666667,-1002
-111.991666666667,27.4416666666667,-1004
-111.975,27.4416666666667,-994
-111.958333333333,27.4416666666667,-956
-111.941666666667,27.4416666666667,-851
-111.925,27.4416666666667,-555
-111.908333333333,27.4416666666667,-20
-111.891666666667,27.4416666666667,25
-111.875,27.4416666666667,75
-111.858333333333,27.4416666666667,14
-111.841666666667,27.4416666666667,-533
-111.825,27.4416666666667,-763
-111.808333333333,27.4416666666667,-741
-111.791666666667,27.4416666666667,-909
-111.775,27.4416666666667,-1296
-111.758333333333,27.4416666666667,-1568
-112.491666666667,27.425,393
-112.475,27.425,375
-112.458333333333,27.425,364
-112.441666666667,27.425,334
-112.425,27.425,271
-112.408333333333,27.425,211
-112.391666666667,27.425,287
-112.375,27.425,297
-112.358333333333,27.425,227
-112.341666666667,27.425,134
-112.325,27.425,16
-112.308333333333,27.425,-12
-112.291666666667,27.425,-224
-112.275,27.425,-324
-112.258333333333,27.425,-394
-112.241666666667,27.425,-438
-112.225,27.425,-487
-112.208333333333,27.425,-568
-112.191666666667,27.425,-665
-112.175,27.425,-775
-112.158333333333,27.425,-917
-112.141666666667,27.425,-996
-112.125,27.425,-1079
-112.108333333333,27.425,-986
-112.091666666667,27.425,-1137
-112.075,27.425,-1101
-112.058333333333,27.425,-1111
-112.041666666667,27.425,-997
-112.025,27.425,-1052
-112.008333333333,27.425,-1046
-111.991666666667,27.425,-1049
-111.975,27.425,-1046
-111.958333333333,27.425,-1019
-111.941666666667,27.425,-991
-111.925,27.425,-920
-111.908333333333,27.425,-747
-111.891666666667,27.425,-892
-111.875,27.425,-799
-111.858333333333,27.425,-1084
-111.841666666667,27.425,-988
-111.825,27.425,-1037
-111.808333333333,27.425,-966
-111.791666666667,27.425,-1110
-111.775,27.425,-1301
-111.758333333333,27.425,-1496
-112.491666666667,27.4083333333333,383
-112.475,27.4083333333333,372
-112.458333333333,27.4083333333333,377
-112.441666666667,27.4083333333333,367
-112.425,27.4083333333333,347
-112.408333333333,27.4083333333333,306
-112.391666666667,27.4083333333333,189
-112.375,27.4083333333333,141
-112.358333333333,27.4083333333333,113
-112.341666666667,27.4083333333333,80
-112.325,27.4083333333333,34
-112.308333333333,27.4083333333333,8
-112.291666666667,27.4083333333333,-121
-112.275,27.4083333333333,-230
-112.258333333333,27.4083333333333,-309
-112.241666666667,27.4083333333333,-368
-112.225,27.4083333333333,-430
-112.208333333333,27.4083333333333,-513
-112.191666666667,27.4083333333333,-625
-112.175,27.4083333333333,-762
-112.158333333333,27.4083333333333,-913
-112.141666666667,27.4083333333333,-1022
-112.125,27.4083333333333,-1042
-112.108333333333,27.4083333333333,-885
-112.091666666667,27.4083333333333,-934
-112.075,27.4083333333333,-1094
-112.058333333333,27.4083333333333,-1049
-112.041666666667,27.4083333333333,-1001
-112.025,27.4083333333333,-1095
-112.008333333333,27.4083333333333,-1083
-111.991666666667,27.4083333333333,-1128
-111.975,27.4083333333333,-1147
-111.958333333333,27.4083333333333,-1142
-111.941666666667,27.4083333333333,-1147
-111.925,27.4083333333333,-1166
-111.908333333333,27.4083333333333,-1193
-111.891666666667,27.4083333333333,-1262
-111.875,27.4083333333333,-1287
-111.858333333333,27.4083333333333,-1306
-111.841666666667,27.4083333333333,-1240
-111.825,27.4083333333333,-1240
-111.808333333333,27.4083333333333,-1201
-111.791666666667,27.4083333333333,-1252
-111.775,27.4083333333333,-1375
-111.758333333333,27.4083333333333,-1471
-112.491666666667,27.3916666666667,401
-112.475,27.3916666666667,378
-112.458333333333,27.3916666666667,389
-112.441666666667,27.3916666666667,374
-112.425,27.3916666666667,371
-112.408333333333,27.3916666666667,369
-112.391666666667,27.3916666666667,300
-112.375,27.3916666666667,148
-112.358333333333,27.3916666666667,152
-112.341666666667,27.3916666666667,101
-112.325,27.3916666666667,57
-112.308333333333,27.3916666666667,14
-112.291666666667,27.3916666666667,-43
-112.275,27.3916666666667,-135
-112.258333333333,27.3916666666667,-215
-112.241666666667,27.3916666666667,-276
-112.225,27.3916666666667,-344
-112.208333333333,27.3916666666667,-420
-112.191666666667,27.3916666666667,-533
-112.175,27.3916666666667,-658
-112.158333333333,27.3916666666667,-797
-112.141666666667,27.3916666666667,-936
-112.125,27.3916666666667,-1039
-112.108333333333,27.3916666666667,-1049
-112.091666666667,27.3916666666667,-1198
-112.075,27.3916666666667,-1236
-112.058333333333,27.3916666666667,-1267
-112.041666666667,27.3916666666667,-1112
-112.025,27.3916666666667,-1253
-112.008333333333,27.3916666666667,-1160
-111.991666666667,27.3916666666667,-1240
-111.975,27.3916666666667,-1264
-111.958333333333,27.3916666666667,-1264
-111.941666666667,27.3916666666667,-1289
-111.925,27.3916666666667,-1338
-111.908333333333,27.3916666666667,-1390
-111.891666666667,27.3916666666667,-1411
-111.875,27.3916666666667,-1478
-111.858333333333,27.3916666666667,-1449
-111.841666666667,27.3916666666667,-1343
-111.825,27.3916666666667,-1476
-111.808333333333,27.3916666666667,-1416
-111.791666666667,27.3916666666667,-1487
-111.775,27.3916666666667,-1519
-111.758333333333,27.3916666666667,-1559
-112.491666666667,27.375,512
-112.475,27.375,413
-112.458333333333,27.375,398
-112.441666666667,27.375,387
-112.425,27.375,364
-112.408333333333,27.375,351
-112.391666666667,27.375,275
-112.375,27.375,310
-112.358333333333,27.375,211
-112.341666666667,27.375,105
-112.325,27.375,93
-112.308333333333,27.375,37
-112.291666666667,27.375,0
-112.275,27.375,-65
-112.258333333333,27.375,-126
-112.241666666667,27.375,-173
-112.225,27.375,-218
-112.208333333333,27.375,-285
-112.191666666667,27.375,-378
-112.175,27.375,-497
-112.158333333333,27.375,-629
-112.141666666667,27.375,-766
-112.125,27.375,-898
-112.108333333333,27.375,-1025
-112.091666666667,27.375,-1163
-112.075,27.375,-1250
-112.058333333333,27.375,-1285
-112.041666666667,27.375,-1241
-112.025,27.375,-1282
-112.008333333333,27.375,-1264
-111.991666666667,27.375,-1302
-111.975,27.375,-1330
-111.958333333333,27.375,-1360
-111.941666666667,27.375,-1394
-111.925,27.375,-1440
-111.908333333333,27.375,-1494
-111.891666666667,27.375,-1537
-111.875,27.375,-1582
-111.858333333333,27.375,-1586
-111.841666666667,27.375,-1569
-111.825,27.375,-1614
-111.808333333333,27.375,-1614
-111.791666666667,27.375,-1626
-111.775,27.375,-1622
-111.758333333333,27.375,-1612
-112.491666666667,27.3583333333333,661
-112.475,27.3583333333333,495
-112.458333333333,27.3583333333333,452
-112.441666666667,27.3583333333333,382
-112.425,27.3583333333333,345
-112.408333333333,27.3583333333333,336
-112.391666666667,27.3583333333333,407
-112.375,27.3583333333333,295
-112.358333333333,27.3583333333333,218
-112.341666666667,27.3583333333333,165
-112.325,27.3583333333333,159
-112.308333333333,27.3583333333333,156
-112.291666666667,27.3583333333333,64
-112.275,27.3583333333333,-9
-112.258333333333,27.3583333333333,-62
-112.241666666667,27.3583333333333,-88
-112.225,27.3583333333333,-98
-112.208333333333,27.3583333333333,-151
-112.191666666667,27.3583333333333,-215
-112.175,27.3583333333333,-324
-112.158333333333,27.3583333333333,-441
-112.141666666667,27.3583333333333,-560
-112.125,27.3583333333333,-688
-112.108333333333,27.3583333333333,-836
-112.091666666667,27.3583333333333,-982
-112.075,27.3583333333333,-1144
-112.058333333333,27.3583333333333,-1251
-112.041666666667,27.3583333333333,-1226
-112.025,27.3583333333333,-1331
-112.008333333333,27.3583333333333,-1289
-111.991666666667,27.3583333333333,-1353
-111.975,27.3583333333333,-1362
-111.958333333333,27.3583333333333,-1420
-111.941666666667,27.3583333333333,-1454
-111.925,27.3583333333333,-1487
-111.908333333333,27.3583333333333,-1540
-111.891666666667,27.3583333333333,-1595
-111.875,27.3583333333333,-1639
-111.858333333333,27.3583333333333,-1684
-111.841666666667,27.3583333333333,-1689
-111.825,27.3583333333333,-1716
-111.808333333333,27.3583333333333,-1700
-111.791666666667,27.3583333333333,-1693
-111.775,27.3583333333333,-1667
-111.758333333333,27.3583333333333,-1646
-112.491666666667,27.3416666666667,698
-112.475,27.3416666666667,727
-112.458333333333,27.3416666666667,493
-112.441666666667,27.3416666666667,404
-112.425,27.3416666666667,355
-112.408333333333,27.3416666666667,407
-112.391666666667,27.3416666666667,428
-112.375,27.3416666666667,312
-112.358333333333,27.3416666666667,224
-112.341666666667,27.3416666666667,219
-112.325,27.3416666666667,220
-112.308333333333,27.3416666666667,138
-112.291666666667,27.3416666666667,116
-112.275,27.3416666666667,61
-112.258333333333,27.3416666666667,-13
-112.241666666667,27.3416666666667,-41
-112.225,27.3416666666667,-48
-112.208333333333,27.3416666666667,-70
-112.191666666667,27.3416666666667,-114
-112.175,27.3416666666667,-183
-112.158333333333,27.3416666666667,-264
-112.141666666667,27.3416666666667,-354
-112.125,27.3416666666667,-457
-112.108333333333,27.3416666666667,-585
-112.091666666667,27.3416666666667,-746
-112.075,27.3416666666667,-947
-112.058333333333,27.3416666666667,-1122
-112.041666666667,27.3416666666667,-1214
-112.025,27.3416666666667,-1289
-112.008333333333,27.3416666666667,-1314
-111.991666666667,27.3416666666667,-1350
-111.975,27.3416666666667,-1386
-111.958333333333,27.3416666666667,-1432
-111.941666666667,27.3416666666667,-1475
-111.925,27.3416666666667,-1506
-111.908333333333,27.3416666666667,-1537
-111.891666666667,27.3416666666667,-1593
-111.875,27.3416666666667,-1628
-111.858333333333,27.3416666666667,-1649
-111.841666666667,27.3416666666667,-1665
-111.825,27.3416666666667,-1672
-111.808333333333,27.3416666666667,-1673
-111.791666666667,27.3416666666667,-1666
-111.775,27.3416666666667,-1656
-111.758333333333,27.3416666666667,-1645
-112.491666666667,27.325,768
-112.475,27.325,649
-112.458333333333,27.325,523
-112.441666666667,27.325,448
-112.425,27.325,448
-112.408333333333,27.325,402
-112.391666666667,27.325,360
-112.375,27.325,350
-112.358333333333,27.325,297
-112.341666666667,27.325,241
-112.325,27.325,195
-112.308333333333,27.325,215
-112.291666666667,27.325,174
-112.275,27.325,126
-112.258333333333,27.325,45
-112.241666666667,27.325,-9
-112.225,27.325,-18
-112.208333333333,27.325,-28
-112.191666666667,27.325,-50
-112.175,27.325,-84
-112.158333333333,27.325,-126
-112.141666666667,27.325,-184
-112.125,27.325,-246
-112.108333333333,27.325,-331
-112.091666666667,27.325,-463
-112.075,27.325,-696
-112.058333333333,27.325,-951
-112.041666666667,27.325,-1102
-112.025,27.325,-1209
-112.008333333333,27.325,-1268
-111.991666666667,27.325,-1310
-111.975,27.325,-1367
-111.958333333333,27.325,-1415
-111.941666666667,27.325,-1463
-111.925,27.325,-1491
-111.908333333333,27.325,-1486
-111.891666666667,27.325,-1564
-111.875,27.325,-1577
-111.858333333333,27.325,-1569
-111.841666666667,27.325,-1587
-111.825,27.325,-1582
-111.808333333333,27.325,-1605
-111.791666666667,27.325,-1610
-111.775,27.325,-1623
-111.758333333333,27.325,-1626
-112.491666666667,27.3083333333333,762
-112.475,27.3083333333333,742
-112.458333333333,27.3083333333333,532
-112.441666666667,27.3083333333333,477
-112.425,27.3083333333333,486
-112.408333333333,27.3083333333333,437
-112.391666666667,27.3083333333333,319
-112.375,27.3083333333333,255
-112.358333333333,27.3083333333333,234
-112.341666666667,27.3083333333333,208
-112.325,27.3083333333333,223
-112.308333333333,27.3083333333333,208
-112.291666666667,27.3083333333333,222
-112.275,27.3083333333333,162
-112.258333333333,27.3083333333333,62
-112.241666666667,27.3083333333333,53
-112.225,27.3083333333333,7
-112.208333333333,27.3083333333333,-12
-112.191666666667,27.3083333333333,-15
-112.175,27.3083333333333,-28
-112.158333333333,27.3083333333333,-50
-112.141666666667,27.3083333333333,-76
-112.125,27.3083333333333,-101
-112.108333333333,27.3083333333333,-134
-112.091666666667,27.3083333333333,-218
-112.075,27.3083333333333,-417
-112.058333333333,27.3083333333333,-663
-112.041666666667,27.3083333333333,-884
-112.025,27.3083333333333,-1052
-112.008333333333,27.3083333333333,-1152
-111.991666666667,27.3083333333333,-1222
-111.975,27.3083333333333,-1297
-111.958333333333,27.3083333333333,-1383
-111.941666666667,27.3083333333333,-1399
-111.925,27.3083333333333,-1423
-111.908333333333,27.3083333333333,-1457
-111.891666666667,27.3083333333333,-1486
-111.875,27.3083333333333,-1511
-111.858333333333,27.3083333333333,-1545
-111.841666666667,27.3083333333333,-1539
-111.825,27.3083333333333,-1542
-111.808333333333,27.3083333333333,-1566
-111.791666666667,27.3083333333333,-1589
-111.775,27.3083333333333,-1606
-111.758333333333,27.3083333333333,-1611
