Ref,Monthly..,year,Date,Locality,ML,Weight,SEX,Mat.Stage,prey,rostral,item,length,SL,TL,ML
,22 - D?,2011,6/10/11,South of Nolasco Island,33.5,NA,,NA,Benthosema,,Otolith.3,2.04,38.2519,47.696056,
,25,2011,6/13/11,Tortuga,26.5,0.4,Male,2,Benthosema,,Otolith.3,2.04,38.2519,47.696056,
,3,2011,6/14/11,San Carlos Bay,36.5,1,Female,2,Benthosema,,Otolith.3,1.84,34.4649,42.693776,
,7,2011,6/14/11,San Carlos Bay,39.5,1.2,Male,5,Benthosema,,Otolith.3,1.84,34.4649,42.693776,
,13,2011,6/14/11,San Carlos Bay,34,0.8,Male,3,Benthosema,,Otolith.3,1.84,34.4649,42.693776,
,14,2011,6/14/11,San Carlos Bay,33,0.8,Male,3,Benthosema,,Otolith.3,1.8,33.7075,41.69332,
,17,2011,6/14/11,San Carlos Bay,40,1.3,Male,5,Benthosema,,Otolith.3,1.68,31.4353,38.691952,
,27,2011,6/14/11,San Carlos Bay,34,0.8,,NA,Benthosema,,Otolith.3,1.84,34.4649,42.693776,
,12,2011,6/15/11,San Raphael,39.5,1.3,Male,2,Benthosema,,Otolith.3,1.92,35.9797,44.694688,
,11,2011,6/16/11,Animas,42,1.7,Female,2,Benthosema,,Otolith.3,1.64,30.6779,37.691496,
,21,2011,6/16/11,Animas,39.5,1.3,Female,2,Benthosema,,Otolith.3,2.12,39.7667,49.696968,
,10,2011,6/18/11,Guaymas Basin,24,0.3,Female,5,Benthosema,,Otolith.3,2,37.4945,46.6956,
,11,2011,6/18/11,Guaymas Basin,37,1.1,Female,5,Benthosema,,Otolith.3,2.04,38.2519,47.696056,
,12,2011,6/18/11,Guaymas Basin,32.5,0.7,Female,5,Benthosema,,Otolith.3,2,37.4945,46.6956,
,14,2011,6/18/11,Guaymas Basin,31,0.7,Female,2,Benthosema,,Otolith.3,2.64,49.6129,62.702896,
,17,2011,6/18/11,Guaymas Basin,23.5,0.3,Female,2,Benthosema,,Otolith.3,2.2,41.2815,51.69788,
,18,2011,6/18/11,Guaymas Basin,24,0.3,Female,2,Benthosema,,Otolith.3,2.04,38.2519,47.696056,
,24,2011,6/18/11,Guaymas Basin,24,0.3,Male,3,Benthosema,,Otolith.3,2.16,40.5241,50.697424,
,25,2011,6/18/11,Guaymas Basin,34.5,0.9,Female,5,Benthosema,,Otolith.3,2.28,42.7963,53.698792,
,27,2011,6/18/11,Guaymas Basin,38,1.1,Female,5,Benthosema,,Otolith.3,1.88,35.2223,43.694232,
,3,2011,6/20/11,Guaymas Basin,41.5,1.8,Female,5,Benthosema,,Otolith.3,1.88,35.2223,43.694232,
,4,2011,6/20/11,Guaymas Basin,36,1,Female,5,Benthosema,,Otolith.3,2.16,40.5241,50.697424,
,30,2011,6/20/11,Guaymas Basin,48.5,3,Female,5,Benthosema,,Otolith.3,1.84,34.4649,42.693776,
,6,2011,6/21/11,Guaymas Basin,35.5,1,Female,5,Benthosema,,Otolith.3,1.96,36.7371,45.695144,
,17,2011,6/21/11,Guaymas Basin,30.5,0.7,Female,3,Benthosema,,Otolith.3,2.24,42.0389,52.698336,
,27,2011,6/21/11,Guaymas Basin,30,0.6,Female,5,Benthosema,,Otolith.3,1.92,35.9797,44.694688,
,5,2010,6/5/10,Guaymas Basin,34.5,0.8,F,5,Benthosema,,Otolith.4,1.6,29.9205,36.69104,
,14,2011,6/9/11,Outside of Guaymas Harbor,36,1,Female,4,Benthosema,,Otolith.4,1.84,34.4649,42.693776,
,15,2011,6/9/11,Outside of Guaymas Harbor,32,NA,Female,5,Benthosema,,Otolith.4,2.16,40.5241,50.697424,
,6,2011,6/10/11,South of Nolasco Island,33,0.8,Female,5,Benthosema,,Otolith.4,1.88,35.2223,43.694232,
,7,2011,6/10/11,South of Nolasco Island,33,0.7,Female,4,Benthosema,,Otolith.4,1.56,29.1631,35.690584,
,8,2011,6/10/11,South of Nolasco Island,32,0.7,Male,5,Benthosema,,Otolith.4,1.8,33.7075,41.69332,
,11,2011,6/10/11,South of Nolasco Island,36,1,Male,5,Benthosema,,Otolith.4,2.04,38.2519,47.696056,
,12,2011,6/10/11,South of Nolasco Island,34,1,Female,5,Benthosema,,Otolith.4,2.24,42.0389,52.698336,
,13,2011,6/10/11,South of Nolasco Island,33,0.8,Female,5,Benthosema,,Otolith.4,1.92,35.9797,44.694688,
,22 - D?,2011,6/10/11,South of Nolasco Island,33.5,NA,,NA,Benthosema,,Otolith.4,2.2,41.2815,51.69788,
,25,2011,6/13/11,Tortuga,26.5,0.4,Male,2,Benthosema,,Otolith.4,1.8,33.7075,41.69332,
,3,2011,6/14/11,San Carlos Bay,36.5,1,Female,2,Benthosema,,Otolith.4,1.96,36.7371,45.695144,
,7,2011,6/14/11,San Carlos Bay,39.5,1.2,Male,5,Benthosema,,Otolith.4,1.96,36.7371,45.695144,
,13,2011,6/14/11,San Carlos Bay,34,0.8,Male,3,Benthosema,,Otolith.4,1.92,35.9797,44.694688,
,14,2011,6/14/11,San Carlos Bay,33,0.8,Male,3,Benthosema,,Otolith.4,1.56,29.1631,35.690584,
,17,2011,6/14/11,San Carlos Bay,40,1.3,Male,5,Benthosema,,Otolith.4,1.84,34.4649,42.693776,
,11,2011,6/18/11,Guaymas Basin,37,1.1,Female,5,Benthosema,,Otolith.4,1.84,34.4649,42.693776,
,14,2011,6/18/11,Guaymas Basin,31,0.7,Female,2,Benthosema,,Otolith.4,2.04,38.2519,47.696056,
,18,2011,6/18/11,Guaymas Basin,24,0.3,Female,2,Benthosema,,Otolith.4,2.08,39.0093,48.696512,
,24,2011,6/18/11,Guaymas Basin,24,0.3,Male,3,Benthosema,,Otolith.4,2.2,41.2815,51.69788,
,3,2011,6/20/11,Guaymas Basin,41.5,1.8,Female,5,Benthosema,,Otolith.4,2.12,39.7667,49.696968,
,4,2011,6/20/11,Guaymas Basin,36,1,Female,5,Benthosema,,Otolith.4,2.24,42.0389,52.698336,
,30,2011,6/20/11,Guaymas Basin,48.5,3,Female,5,Benthosema,,Otolith.4,1.72,32.1927,39.692408,
,6,2011,6/21/11,Guaymas Basin,35.5,1,Female,5,Benthosema,,Otolith.4,2.04,38.2519,47.696056,
,15,2011,6/9/11,Outside of Guaymas Harbor,32,NA,Female,5,Benthosema,,Otolith.5,2.24,42.0389,52.698336,
,6,2011,6/10/11,South of Nolasco Island,33,0.8,Female,5,Benthosema,,Otolith.5,1.92,35.9797,44.694688,
,8,2011,6/10/11,South of Nolasco Island,32,0.7,Male,5,Benthosema,,Otolith.5,1.84,34.4649,42.693776,
,12,2011,6/10/11,South of Nolasco Island,34,1,Female,5,Benthosema,,Otolith.5,2.44,45.8259,57.700616,
,13,2011,6/10/11,South of Nolasco Island,33,0.8,Female,5,Benthosema,,Otolith.5,2.32,43.5537,54.699248,
,22 - D?,2011,6/10/11,South of Nolasco Island,33.5,NA,,NA,Benthosema,,Otolith.5,2.24,42.0389,52.698336,
,25,2011,6/13/11,Tortuga,26.5,0.4,Male,2,Benthosema,,Otolith.5,1.92,35.9797,44.694688,
,13,2011,6/14/11,San Carlos Bay,34,0.8,Male,3,Benthosema,,Otolith.5,1.96,36.7371,45.695144,
,17,2011,6/14/11,San Carlos Bay,40,1.3,Male,5,Benthosema,,Otolith.5,1.88,35.2223,43.694232,
,11,2011,6/18/11,Guaymas Basin,37,1.1,Female,5,Benthosema,,Otolith.5,1.88,35.2223,43.694232,
,14,2011,6/18/11,Guaymas Basin,31,0.7,Female,2,Benthosema,,Otolith.5,2.24,42.0389,52.698336,
,18,2011,6/18/11,Guaymas Basin,24,0.3,Female,2,Benthosema,,Otolith.5,2,37.4945,46.6956,
,24,2011,6/18/11,Guaymas Basin,24,0.3,Male,3,Benthosema,,Otolith.5,2.24,42.0389,52.698336,
,3,2011,6/20/11,Guaymas Basin,41.5,1.8,Female,5,Benthosema,,Otolith.5,2.04,38.2519,47.696056,
,30,2011,6/20/11,Guaymas Basin,48.5,3,Female,5,Benthosema,,Otolith.5,1.76,32.9501,40.692864,
,6,2011,6/21/11,Guaymas Basin,35.5,1,Female,5,Benthosema,,Otolith.5,2.28,42.7963,53.698792,
,8,2011,6/10/11,South of Nolasco Island,32,0.7,Male,5,Benthosema,,Otolith.6,1.96,36.7371,45.695144,
,12,2011,6/10/11,South of Nolasco Island,34,1,Female,5,Benthosema,,Otolith.6,2.04,38.2519,47.696056,
,22 - D?,2011,6/10/11,South of Nolasco Island,33.5,NA,,NA,Benthosema,,Otolith.6,2.28,42.7963,53.698792,
,25,2011,6/13/11,Tortuga,26.5,0.4,Male,2,Benthosema,,Otolith.6,1.96,36.7371,45.695144,
,13,2011,6/14/11,San Carlos Bay,34,0.8,Male,3,Benthosema,,Otolith.6,1.72,32.1927,39.692408,
,17,2011,6/14/11,San Carlos Bay,40,1.3,Male,5,Benthosema,,Otolith.6,2.08,39.0093,48.696512,
,11,2011,6/18/11,Guaymas Basin,37,1.1,Female,5,Benthosema,,Otolith.6,2.16,40.5241,50.697424,
,18,2011,6/18/11,Guaymas Basin,24,0.3,Female,2,Benthosema,,Otolith.6,2.4,45.0685,56.70016,
,24,2011,6/18/11,Guaymas Basin,24,0.3,Male,3,Benthosema,,Otolith.6,1.92,35.9797,44.694688,
,3,2011,6/20/11,Guaymas Basin,41.5,1.8,Female,5,Benthosema,,Otolith.6,2.08,39.0093,48.696512,
,30,2011,6/20/11,Guaymas Basin,48.5,3,Female,5,Benthosema,,Otolith.6,1.52,28.4057,34.690128,
,6,2011,6/21/11,Guaymas Basin,35.5,1,Female,5,Benthosema,,Otolith.6,2.08,39.0093,48.696512,
,8,2011,6/10/11,South of Nolasco Island,32,0.7,Male,5,Benthosema,,Otolith.7,2.12,39.7667,49.696968,
,12,2011,6/10/11,South of Nolasco Island,34,1,Female,5,Benthosema,,Otolith.7,2.2,41.2815,51.69788,
,22 - D?,2011,6/10/11,South of Nolasco Island,33.5,NA,,NA,Benthosema,,Otolith.7,1.92,35.9797,44.694688,
,11,2011,6/18/11,Guaymas Basin,37,1.1,Female,5,Benthosema,,Otolith.7,1.92,35.9797,44.694688,
,24,2011,6/18/11,Guaymas Basin,24,0.3,Male,3,Benthosema,,Otolith.7,2,37.4945,46.6956,
,30,2011,6/20/11,Guaymas Basin,48.5,3,Female,5,Benthosema,,Otolith.7,1.8,33.7075,41.69332,
,8,2011,6/10/11,South of Nolasco Island,32,0.7,Male,5,Benthosema,,Otolith.8,2,37.4945,46.6956,
,12,2011,6/10/11,South of Nolasco Island,34,1,Female,5,Benthosema,,Otolith.8,2.16,40.5241,50.697424,
,11,2011,6/18/11,Guaymas Basin,37,1.1,Female,5,Benthosema,,Otolith.8,2.28,42.7963,53.698792,
,24,2011,6/18/11,Guaymas Basin,24,0.3,Male,3,Benthosema,,Otolith.8,2.08,39.0093,48.696512,
,30,2011,6/20/11,Guaymas Basin,48.5,3,Female,5,Benthosema,,Otolith.8,1.64,30.6779,37.691496,
,12,2011,6/10/11,South of Nolasco Island,34,1,Female,5,Benthosema,,Otolith.9,2.08,39.0093,48.696512,
,11,2011,6/18/11,Guaymas Basin,37,1.1,Female,5,Benthosema,,Otolith.9,2,37.4945,46.6956,
,24,2011,6/18/11,Guaymas Basin,24,0.3,Male,3,Benthosema,,Otolith.9,2.08,39.0093,48.696512,
,30,2011,6/20/11,Guaymas Basin,48.5,3,Female,5,Benthosema,,Otolith.9,1.92,35.9797,44.694688,
,12,2011,6/10/11,South of Nolasco Island,34,1,Female,5,Benthosema,,Otolith.10,2.12,39.7667,49.696968,
,11,2011,6/18/11,Guaymas Basin,37,1.1,Female,5,Benthosema,,Otolith.10,2,37.4945,46.6956,
,30,2011,6/20/11,Guaymas Basin,48.5,3,Female,5,Benthosema,,Otolith.10,1.96,36.7371,45.695144,
,12,2011,6/10/11,South of Nolasco Island,34,1,Female,5,Benthosema,,Otolith.11,2.28,42.7963,53.698792,
,11,2011,6/18/11,Guaymas Basin,37,1.1,Female,5,Benthosema,,Otolith.11,2.08,39.0093,48.696512,
,30,2011,6/20/11,Guaymas Basin,48.5,3,Female,5,Benthosema,,Otolith.11,1.96,36.7371,45.695144,
,11,2011,6/18/11,Guaymas Basin,37,1.1,Female,5,Benthosema,,Otolith.12,2.08,39.0093,48.696512,
,11,2011,6/18/11,Guaymas Basin,37,1.1,Female,5,Benthosema,,Otolith.13,2.28,42.7963,53.698792,
,11,2011,6/18/11,Guaymas Basin,37,1.1,Female,5,Benthosema,,Otolith.14,2,37.4945,46.6956,
,11,2011,6/18/11,Guaymas Basin,37,1.1,Female,5,Benthosema,,Otolith.15,2.16,40.5241,50.697424,
,4,2010,6/5/10,Guaymas Basin,27.5,0.4,F,4,Pterygioteuthis,,Otolith.1,0.5,,,22.78
,8,2010,6/5/10,Guaymas Basin,32.5,0.65,F,5,Pterygioteuthis,,Otolith.1,0.5,,,22.78
,9,2010,6/5/10,Guaymas Basin,30,0.63,F,5,Pterygioteuthis,URL,Otolith.1,0.4,,,18.892
,15,2010,6/5/10,Guaymas Basin,27,0.35,F,2,Pterygioteuthis,,Otolith.1,0.4,,,19.464
,22,2010,6/5/10,Guaymas Basin,31.5,0.65,F,5,Pterygioteuthis,,Otolith.1,0.3,,,16.148
,23,2010,6/5/10,Guaymas Basin,29,0.43,M,5,Pterygioteuthis,,Otolith.1,0.3,,,16.148
,25,2010,6/5/10,Guaymas Basin,33,0.85,F,3,Pterygioteuthis,,Otolith.1,0.3,,,16.148
,11,2010,6/5/10,Rosalia - Marcos,20,0.17,M,2,Pterygioteuthis,,Otolith.1,0.4,,,19.464
,12,2010,6/5/10,Rosalia - Marcos,22.5,0.21,F,2,Pterygioteuthis,,Otolith.1,0.3,,,16.148
,13,2010,6/5/10,Rosalia - Marcos,22,0.25,F,2,Pterygioteuthis,,Otolith.1,0.4,,,19.464
,16,2010,6/5/10,Rosalia - Marcos,28.5,0.44,M,5,Pterygioteuthis,,Otolith.1,0.45,,,21.122
,17,2010,6/5/10,Rosalia - Marcos,24,0.25,F,2,Pterygioteuthis,,Otolith.1,0.4,,,19.464
,2,2010,6/7/10,San Carlos Bay,28,0.5,M,5,Pterygioteuthis,,Otolith.1,0.35,,,17.806
,3,2010,6/7/10,San Carlos Bay,29.5,0.59,F,2,Pterygioteuthis,,Otolith.1,0.35,,,17.806
,5,2010,6/7/10,San Carlos Bay,30.5,0.65,M,1,Pterygioteuthis,,Otolith.1,0.35,,,17.806
,6,2010,6/7/10,San Carlos Bay,31,0.7,F,2,Pterygioteuthis,,Otolith.1,0.3,,,16.148
,7,2010,6/7/10,San Carlos Bay,29,0.59,F,2,Pterygioteuthis,,Otolith.1,0.3,,,16.148
,15,2010,6/7/10,San Carlos Bay,32,0.75,F,2,Pterygioteuthis,,Otolith.1,0.25,,,14.49
,17,2010,6/7/10,San Carlos Bay,34.5,0.94,F,2,Pterygioteuthis,URL,Otolith.1,0.35,,,17.443
,20,2010,6/7/10,San Carlos Bay,31,0.67,M,2,Pterygioteuthis,,Otolith.1,0.3,,,16.148
,21,2010,6/7/10,San Carlos Bay,31,0.66,M,2,Pterygioteuthis,,Otolith.1,0.25,,,14.49
,2,2010,6/12/10,Guaymas Basin,29,0.5,F,3,Pterygioteuthis,,Otolith.1,0.4,,,19.464
,5,2010,6/12/10,Guaymas Basin,35,0.94,F,5,Pterygioteuthis,,Otolith.1,0.5,,,22.78
,14,2010,6/12/10,Guaymas Basin,33.5,0.64,F,5,Pterygioteuthis,URL,Otolith.1,0.35,,,17.443
,15,2010,6/12/10,Guaymas Basin,16,0.1,F,1,Pterygioteuthis,,Otolith.1,0.4,,,19.464
,16,2010,6/12/10,Guaymas Basin,22,1.8,F,2,Pterygioteuthis,URL,Otolith.1,0.45,,,20.341
,17,2010,6/12/10,Guaymas Basin,24,0.28,M,5,Pterygioteuthis,,Otolith.1,0.5,,,22.78
,18,2010,6/12/10,Guaymas Basin,31.5,0.67,M,5,Pterygioteuthis,,Otolith.1,0.3,,,16.148
,23,2010,6/12/10,Guaymas Basin,31,0.63,F,5,Pterygioteuthis,,Otolith.1,0.35,,,17.806
,3,2010,6/14/10,Guaymas Basin,25.5,0.38,F,4,Pterygioteuthis,URL,Otolith.1,0.25,,,14.545
,4,2010,6/14/10,Guaymas Basin,26.5,0.4,F,4,Pterygioteuthis,URL,Otolith.1,0.35,,,17.443
,6,2010,6/14/10,Guaymas Basin,23.5,0.3,F,3,Pterygioteuthis,,Otolith.1,0.4,,,19.464
,8,2010,6/14/10,Guaymas Basin,24,0.33,F,3,Pterygioteuthis,,Otolith.1,0.5,,,22.78
,9,2010,6/14/10,Guaymas Basin,29,0.52,F,3,Pterygioteuthis,,Otolith.1,0.5,,,22.78
,10,2010,6/14/10,Guaymas Basin,29,0.48,M,5,Pterygioteuthis,,Otolith.1,0.4,,,19.464
,11,2010,6/14/10,Guaymas Basin,24,0.3,F,3,Pterygioteuthis,URL,Otolith.1,0.2,,,13.096
,14,2010,6/14/10,Guaymas Basin,26,0.38,F,2,Pterygioteuthis,,Otolith.1,0.25,,,14.49
,15,2010,6/14/10,Guaymas Basin,29,0.61,F,2,Pterygioteuthis,,Otolith.1,0.3,,,16.148
,16,2010,6/14/10,Guaymas Basin,22,0.24,M,5,Pterygioteuthis,,Otolith.1,0.3,,,16.148
,17,2010,6/14/10,Guaymas Basin,24,0.3,F,2,Pterygioteuthis,,Otolith.1,0.25,,,14.49
,18,2010,6/14/10,Guaymas Basin,22.5,0.24,F,2,Pterygioteuthis,,Otolith.1,0.25,,,14.49
,5,2010,6/15/10,Rosalia - Marcos,24.5,0.35,F,2,Pterygioteuthis,,Otolith.1,0.5,,,22.78
,13,2010,6/15/10,Rosalia - Marcos,23.5,0.28,F,1,Pterygioteuthis,URL,Otolith.1,0.3,,,15.994
,1,2011,6/9/11,Outside of Guaymas Harbor,38.5,1.2,Female,5,Pterygioteuthis,URL,Otolith.1,0.44,,,20.0512
,9,2011,6/9/11,Outside of Guaymas Harbor,38.5,1.3,Female,5,Pterygioteuthis,,Otolith.1,0.44,,,20.7904
,14,2011,6/9/11,Outside of Guaymas Harbor,36,1,Female,4,Pterygioteuthis,,Otolith.1,0.6,,,26.096
,1,2011,6/10/11,South of Nolasco Island,35.5,1,Female,5,Pterygioteuthis,URL,Otolith.1,0.4,,,18.892
,6,2011,6/10/11,South of Nolasco Island,33,0.8,Female,5,Pterygioteuthis,,Otolith.1,0.44,,,20.7904
,8,2011,6/10/11,South of Nolasco Island,32,0.7,Male,5,Pterygioteuthis,,Otolith.1,0.48,,,22.1168
,11,2011,6/10/11,South of Nolasco Island,36,1,Male,5,Pterygioteuthis,,Otolith.1,0.4,,,19.464
,12,2011,6/10/11,South of Nolasco Island,34,1,Female,5,Pterygioteuthis,,Otolith.1,0.52,,,23.4432
,13,2011,6/10/11,South of Nolasco Island,33,0.8,Female,5,Pterygioteuthis,URL,Otolith.1,0.44,,,20.0512
,19,2011,6/10/11,South of Nolasco Island,41,1.4,Female,5,Pterygioteuthis,URL,Otolith.1,0.44,,,20.0512
,22 - D?,2011,6/10/11,South of Nolasco Island,33.5,NA,,NA,Pterygioteuthis,,Otolith.1,0.44,,,20.7904
,1,2011,6/11/11,Guaymas Basin,32.5,0.7,Female,5,Pterygioteuthis,,Otolith.1,0.48,,,22.1168
,22,2011,6/11/11,Guaymas Basin,23,0.3,Female,2,Pterygioteuthis,URL,Otolith.1,0.32,,,16.5736
,25,2011,6/11/11,Guaymas Basin,18.5,0.2,Female,1,Pterygioteuthis,,Otolith.1,0.52,,,23.4432
,27,2011,6/11/11,Guaymas Basin,27.5,0.5,Male,5,Pterygioteuthis,URL,Otolith.1,0.32,,,16.5736
,31,2011,6/11/11,Guaymas Basin,24,0.3,Female,2,Pterygioteuthis,,Otolith.1,0.48,,,22.1168
,8,2011,6/12/11,Rosalia - Marcos,27,0.4,Female,2,Pterygioteuthis,,Otolith.1,0.44,,,20.7904
,C,2011,6/12/11,Rosalia - Marcos,32.5,NA,Female,2,Pterygioteuthis,,Otolith.1,0.48,,,22.1168
,18,2011,6/13/11,Tortuga,30.5,0.6,Female,2,Pterygioteuthis,,Otolith.1,0.44,,,20.7904
,20,2011,6/13/11,Tortuga,24.5,0.3,Female,2,Pterygioteuthis,,Otolith.1,0.44,,,20.7904
,26,2011,6/13/11,Tortuga,35,0.8,Male,5,Pterygioteuthis,,Otolith.1,0.48,,,22.1168
,1,2011,6/14/11,San Carlos Bay,42,1.6,Female,5,Pterygioteuthis,,Otolith.1,0.36,,,18.1376
,7,2011,6/14/11,San Carlos Bay,39.5,1.2,Male,5,Pterygioteuthis,,Otolith.1,0.44,,,20.7904
,13,2011,6/14/11,San Carlos Bay,34,0.8,Male,3,Pterygioteuthis,URL,Otolith.1,0.44,,,20.0512
,17,2011,6/14/11,San Carlos Bay,40,1.3,Male,5,Pterygioteuthis,,Otolith.1,0.52,,,23.4432
,4,2011,6/17/11,Guaymas Basin,24.5,0.3,Female,2,Pterygioteuthis,,Otolith.1,0.44,,,20.7904
,17,2011,6/17/11,Guaymas Basin,22.5,0.3,Male,5,Pterygioteuthis,,Otolith.1,0.4,,,19.464
,19,2011,6/17/11,Guaymas Basin,23,0.2,Female,2,Pterygioteuthis,,Otolith.1,0.48,,,22.1168
,21,2011,6/17/11,Guaymas Basin,27,0.4,Female,2,Pterygioteuthis,,Otolith.1,0.48,,,22.1168
,25,2011,6/17/11,Guaymas Basin,24,0.3,Male,2,Pterygioteuthis,URL,Otolith.1,0.44,,,20.0512
,28,2011,6/17/11,Guaymas Basin,28,0.5,Female,2,Pterygioteuthis,,Otolith.1,0.88,,,35.3808
,29,2011,6/17/11,Guaymas Basin,24,0.4,Male,2,Pterygioteuthis,URL,Otolith.1,0.4,,,18.892
,30,2011,6/17/11,Guaymas Basin,22,0.3,Female,2,Pterygioteuthis,,Otolith.1,0.44,,,20.7904
,2,2011,6/18/11,Guaymas Basin,36,1.1,Female,5,Pterygioteuthis,,Otolith.1,0.4,,,19.464
,12,2011,6/18/11,Guaymas Basin,32.5,0.7,Female,5,Pterygioteuthis,URL,Otolith.1,0.36,,,17.7328
,14,2011,6/18/11,Guaymas Basin,31,0.7,Female,2,Pterygioteuthis,,Otolith.1,0.52,,,23.4432
,16,2011,6/18/11,Guaymas Basin,34.5,0.9,Female,5,Pterygioteuthis,,Otolith.1,0.4,,,19.464
,17,2011,6/18/11,Guaymas Basin,23.5,0.3,Female,2,Pterygioteuthis,,Otolith.1,0.52,,,23.4432
,21,2011,6/18/11,Guaymas Basin,34.5,0.9,Female,5,Pterygioteuthis,URL,Otolith.1,0.52,,,22.3696
,25,2011,6/18/11,Guaymas Basin,34.5,0.9,Female,5,Pterygioteuthis,,Otolith.1,0.44,,,20.7904
,26,2011,6/18/11,Guaymas Basin,35.5,0.8,Female,5,Pterygioteuthis,,Otolith.1,0.48,,,22.1168
,3,2011,6/19/11,Rosalia-Marcos,37,1,Female,3,Pterygioteuthis,URL,Otolith.1,0.48,,,21.2104
,7,2011,6/19/11,Rosalia-Marcos,37,1,Female,3,Pterygioteuthis,URL,Otolith.1,0.44,,,20.0512
,11,2011,6/19/11,Rosalia-Marcos,32.5,NA,,NA,Pterygioteuthis,,Otolith.1,0.56,,,24.7696
,13,2011,6/19/11,Rosalia-Marcos,36.5,1.2,Female,5,Pterygioteuthis,URL,Otolith.1,0.36,,,17.7328
,14,2011,6/19/11,Rosalia-Marcos,36.5,1,Male,5,Pterygioteuthis,,Otolith.1,0.44,,,20.7904
,4,2011,6/20/11,Guaymas Basin,36,1,Female,5,Pterygioteuthis,,Otolith.1,0.44,,,20.7904
,5,2011,6/20/11,Guaymas Basin,39,1.3,Female,5,Pterygioteuthis,,Otolith.1,0.4,,,19.464
,7,2011,6/20/11,Guaymas Basin,39,1.3,Female,5,Pterygioteuthis,,Otolith.1,0.44,,,20.7904
,9,2011,6/20/11,Guaymas Basin,36.5,1.1,Female,5,Pterygioteuthis,,Otolith.1,0.4,,,19.464
,13,2011,6/20/11,Guaymas Basin,33,0.7,Male,5,Pterygioteuthis,,Otolith.1,0.48,,,22.1168
,16,2011,6/20/11,Guaymas Basin,33.5,0.9,Female,5,Pterygioteuthis,URL,Otolith.1,0.48,,,21.2104
,17,2011,6/20/11,Guaymas Basin,40.5,1.4,Female,5,Pterygioteuthis,,Otolith.1,0.4,,,19.464
,25,2011,6/20/11,Guaymas Basin,40.5,1.5,Female,5,Pterygioteuthis,,Otolith.1,0.32,,,16.8112
,29,2011,6/20/11,Guaymas Basin,36,1,Female,2,Pterygioteuthis,URL,Otolith.1,0.44,,,20.0512
,2,2011,6/21/11,Guaymas Basin,39,1.2,Female,5,Pterygioteuthis,,Otolith.1,0.44,,,20.7904
,6,2011,6/21/11,Guaymas Basin,35.5,1,Female,5,Pterygioteuthis,,Otolith.1,0.52,,,23.4432
,10,2011,6/21/11,Guaymas Basin,32.5,0.7,Female,5,Pterygioteuthis,,Otolith.1,0.44,,,20.7904
,11,2011,6/21/11,Guaymas Basin,41,1.4,Female,5,Pterygioteuthis,,Otolith.1,0.4,,,19.464
,12,2011,6/21/11,Guaymas Basin,34,0.9,Female,4,Pterygioteuthis,,Otolith.1,0.52,,,23.4432
,14,2011,6/21/11,Guaymas Basin,37,1.1,Male,5,Pterygioteuthis,,Otolith.1,0.4,,,19.464
,28,2011,6/21/11,Guaymas Basin,38.5,1.2,Female,5,Pterygioteuthis,URL,Otolith.1,0.44,,,20.0512
,4,2010,6/5/10,Guaymas Basin,27.5,0.4,F,4,Pterygioteuthis,,Otolith.2,0.5,,,22.78
,15,2010,6/5/10,Guaymas Basin,27,0.35,F,2,Pterygioteuthis,,Otolith.2,0.5,,,22.78
,22,2010,6/5/10,Guaymas Basin,31.5,0.65,F,5,Pterygioteuthis,,Otolith.2,0.3,,,16.148
